GlobalID,Longitude,Latitude,X1_1_ActivityCycle,X5_1_AdultBodyMass_g,X8_1_AdultForearmLen_mm,X13_1_AdultHeadBodyLen_mm,X2_1_AgeatEyeOpening_d,X3_1_AgeatFirstBirth_d,X18_1_BasalMetRate_mLO2hr,X5_2_BasalMetRateMass_g,X6_1_DietBreadth,X7_1_DispersalAge_d,X9_1_GestationLen_d,X12_1_HabitatBreadth,X22_1_HomeRange_km2,X22_2_HomeRange_Indiv_km2,X14_1_InterbirthInterval_d,X15_1_LitterSize,X16_1_LittersPerYear,X17_1_MaxLongevity_m,X5_3_NeonateBodyMass_g,X13_2_NeonateHeadBodyLen_mm,X10_1_PopulationGrpSize,X23_1_SexualMaturityAge_d,X10_2_SocialGrpSize,X24_1_TeatNumber,X12_2_Terrestriality,X6_2_TrophicLevel,X25_1_WeaningAge_d,X5_4_WeaningBodyMass_g,X13_3_WeaningHeadBodyLen_mm,XHYP_JTE
103148,-42.1727,83.26264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103149,-38.3442,83.26264,1.5,7.690835603,NA,5.495894492,3.080445408,5.635848748,4.578928875,4.051784948,2,4.65396035,4.182265481,1,0.902975533,0.866842597,15.81781285,1.243516482,0.549306144,4.846376921,3.850287472,3.555062306,NA,2.287208991,1.609437912,1.844439727,1,1.666666667,4.288095997,5.798932655,NA,3
103150,-34.5156,83.26264,1.5,7.690835603,NA,5.495894492,3.080445408,5.635848748,4.578928875,4.051784948,2,4.65396035,4.182265481,1,0.902975533,0.866842597,15.81781285,1.243516482,0.549306144,4.846376921,3.850287472,3.555062306,NA,2.287208991,1.609437912,1.844439727,1,1.666666667,4.288095997,5.798932655,NA,3
103151,-30.6871,83.26264,1.5,7.690835603,NA,5.495894492,3.080445408,5.635848748,4.578928875,4.051784948,2,4.65396035,4.182265481,1,0.902975533,0.866842597,15.81781285,1.243516482,0.549306144,4.846376921,3.850287472,3.555062306,NA,2.287208991,1.609437912,1.844439727,1,1.666666667,4.288095997,5.798932655,NA,3
103152,-26.8586,83.26264,1.5,7.690835603,NA,5.495894492,3.080445408,5.635848748,4.578928875,4.051784948,2,4.65396035,4.182265481,1,0.902975533,0.866842597,15.81781285,1.243516482,0.549306144,4.846376921,3.850287472,3.555062306,NA,2.287208991,1.609437912,1.844439727,1,1.666666667,4.288095997,5.798932655,NA,3
103235,-79.469,82.81348,1.333333333,10.49339899,NA,6.916687912,2.984915357,6.729011392,8.913436974,9.883024469,2,5.826422828,4.827827846,1,2.096849691,2.009828532,22.56653101,1.015732624,0.135155036,5.365788371,7.085236072,5.05815481,1.696535106,2.562341067,1.609437912,1.791759469,1,1.8,4.853979034,10.58265414,NA,2
103236,-75.8786,82.81348,1.333333333,10.49339899,NA,6.916687912,2.984915357,6.729011392,8.913436974,9.883024469,2,5.826422828,4.827827846,1,2.096849691,2.009828532,22.56653101,1.015732624,0.135155036,5.365788371,7.085236072,5.05815481,1.696535106,2.562341067,1.609437912,1.791759469,1,1.8,4.853979034,10.58265414,NA,2
103237,-72.2882,82.81348,1.333333333,9.953658804,NA,6.916687912,2.984915357,6.305362462,8.913436974,9.883024469,2,5.826422828,4.64823667,1,2.096849691,2.009828532,22.28913537,1.267178197,0.135155036,5.291495343,6.362383927,5.05815481,1.696535106,2.534858259,0.693147181,2.197224577,1,2,4.359634603,10.12290818,NA,1
103238,-68.6978,82.81348,1.333333333,9.953658804,NA,6.916687912,2.984915357,6.305362462,8.913436974,9.883024469,2,5.826422828,4.64823667,1,2.096849691,2.009828532,22.28913537,1.267178197,0.135155036,5.291495343,6.362383927,5.05815481,1.696535106,2.534858259,0.693147181,2.197224577,1,2,4.359634603,10.12290818,NA,1
103239,-65.1074,82.81348,1.333333333,9.953658804,NA,6.916687912,2.984915357,6.305362462,8.913436974,9.883024469,2,5.826422828,4.64823667,1,2.096849691,2.009828532,22.28913537,1.267178197,0.135155036,5.291495343,6.362383927,5.05815481,1.696535106,2.534858259,0.693147181,2.197224577,1,2,4.359634603,10.12290818,NA,1
103246,-39.9747,82.81348,1.666666667,8.225839024,NA,5.86224488,2.933554059,5.859019986,6.953712773,7.229536755,1.75,4.923458601,4.176020366,1,1.577797941,1.403501039,16.63960293,1.315899164,0.597253156,5.102106919,4.393159478,3.555062306,NA,2.340498664,1.609437912,1.962034677,1,2,4.104108109,5.798932655,NA,3
103247,-36.3843,82.81348,1.5,7.690835603,NA,5.495894492,3.080445408,5.635848748,4.578928875,4.051784948,2,4.65396035,4.182265481,1,0.902975533,0.866842597,15.81781285,1.243516482,0.549306144,4.846376921,3.850287472,3.555062306,NA,2.287208991,1.609437912,1.844439727,1,1.666666667,4.288095997,5.798932655,NA,3
103248,-32.7939,82.81348,1.5,7.690835603,NA,5.495894492,3.080445408,5.635848748,4.578928875,4.051784948,2,4.65396035,4.182265481,1,0.902975533,0.866842597,15.81781285,1.243516482,0.549306144,4.846376921,3.850287472,3.555062306,NA,2.287208991,1.609437912,1.844439727,1,1.666666667,4.288095997,5.798932655,NA,3
103249,-29.2035,82.81348,1.5,7.690835603,NA,5.495894492,3.080445408,5.635848748,4.578928875,4.051784948,2,4.65396035,4.182265481,1,0.902975533,0.866842597,15.81781285,1.243516482,0.549306144,4.846376921,3.850287472,3.555062306,NA,2.287208991,1.609437912,1.844439727,1,1.666666667,4.288095997,5.798932655,NA,3
103250,-25.6131,82.81348,1.5,7.690835603,NA,5.495894492,3.080445408,5.635848748,4.578928875,4.051784948,2,4.65396035,4.182265481,1,0.902975533,0.866842597,15.81781285,1.243516482,0.549306144,4.846376921,3.850287472,3.555062306,NA,2.287208991,1.609437912,1.844439727,1,1.666666667,4.288095997,5.798932655,NA,3
103336,-85.3506,82.36432,1.333333333,10.49339899,NA,6.916687912,2.984915357,6.729011392,8.913436974,9.883024469,2,5.826422828,4.827827846,1,2.096849691,2.009828532,22.56653101,1.015732624,0.135155036,5.365788371,7.085236072,5.05815481,1.696535106,2.562341067,1.609437912,1.791759469,1,1.8,4.853979034,10.58265414,NA,2
103337,-81.9702,82.36432,1.333333333,10.49339899,NA,6.916687912,2.984915357,6.729011392,8.913436974,9.883024469,2,5.826422828,4.827827846,1,2.096849691,2.009828532,22.56653101,1.015732624,0.135155036,5.365788371,7.085236072,5.05815481,1.696535106,2.562341067,1.609437912,1.791759469,1,1.8,4.853979034,10.58265414,NA,2
103338,-78.5899,82.36432,1.333333333,10.49339899,NA,6.916687912,2.984915357,6.729011392,8.913436974,9.883024469,2,5.826422828,4.827827846,1,2.096849691,2.009828532,22.56653101,1.015732624,0.135155036,5.365788371,7.085236072,5.05815481,1.696535106,2.562341067,1.609437912,1.791759469,1,1.8,4.853979034,10.58265414,NA,2
103339,-75.2096,82.36432,1.333333333,10.49339899,NA,6.916687912,2.984915357,6.729011392,8.913436974,9.883024469,2,5.826422828,4.827827846,1,2.096849691,2.009828532,22.56653101,1.015732624,0.135155036,5.365788371,7.085236072,5.05815481,1.696535106,2.562341067,1.609437912,1.791759469,1,1.8,4.853979034,10.58265414,NA,2
103340,-71.8292,82.36432,1.333333333,9.953658804,NA,6.916687912,2.984915357,6.305362462,8.913436974,9.883024469,2,5.826422828,4.64823667,1,2.096849691,2.009828532,22.28913537,1.267178197,0.135155036,5.291495343,6.362383927,5.05815481,1.696535106,2.534858259,0.693147181,2.197224577,1,2,4.359634603,10.12290818,NA,1
103341,-68.4489,82.36432,1.333333333,9.953658804,NA,6.916687912,2.984915357,6.305362462,8.913436974,9.883024469,2,5.826422828,4.64823667,1,2.096849691,2.009828532,22.28913537,1.267178197,0.135155036,5.291495343,6.362383927,5.05815481,1.696535106,2.534858259,0.693147181,2.197224577,1,2,4.359634603,10.12290818,NA,1
103342,-65.0685,82.36432,1.333333333,9.953658804,NA,6.916687912,2.984915357,6.305362462,8.913436974,9.883024469,2,5.826422828,4.64823667,1,2.096849691,2.009828532,22.28913537,1.267178197,0.135155036,5.291495343,6.362383927,5.05815481,1.696535106,2.534858259,0.693147181,2.197224577,1,2,4.359634603,10.12290818,NA,1
103343,-61.6882,82.36432,1.333333333,9.953658804,NA,6.916687912,2.984915357,6.305362462,8.913436974,9.883024469,2,5.826422828,4.64823667,1,2.096849691,2.009828532,22.28913537,1.267178197,0.135155036,5.291495343,6.362383927,5.05815481,1.696535106,2.534858259,0.693147181,2.197224577,1,2,4.359634603,10.12290818,NA,1
103348,-44.7865,82.36432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103349,-41.4062,82.36432,1.666666667,8.225839024,NA,5.86224488,2.933554059,5.859019986,6.953712773,7.229536755,1.75,4.923458601,4.176020366,1,1.577797941,1.403501039,16.63960293,1.315899164,0.597253156,5.102106919,4.393159478,3.555062306,NA,2.340498664,1.609437912,1.962034677,1,2,4.104108109,5.798932655,NA,3
103350,-38.0258,82.36432,1.5,7.690835603,NA,5.495894492,3.080445408,5.635848748,4.578928875,4.051784948,2,4.65396035,4.182265481,1,0.902975533,0.866842597,15.81781285,1.243516482,0.549306144,4.846376921,3.850287472,3.555062306,NA,2.287208991,1.609437912,1.844439727,1,1.666666667,4.288095997,5.798932655,NA,3
103351,-34.6455,82.36432,1.5,7.690835603,NA,5.495894492,3.080445408,5.635848748,4.578928875,4.051784948,2,4.65396035,4.182265481,1,0.902975533,0.866842597,15.81781285,1.243516482,0.549306144,4.846376921,3.850287472,3.555062306,NA,2.287208991,1.609437912,1.844439727,1,1.666666667,4.288095997,5.798932655,NA,3
103352,-31.2652,82.36432,1.5,7.690835603,NA,5.495894492,3.080445408,5.635848748,4.578928875,4.051784948,2,4.65396035,4.182265481,1,0.902975533,0.866842597,15.81781285,1.243516482,0.549306144,4.846376921,3.850287472,3.555062306,NA,2.287208991,1.609437912,1.844439727,1,1.666666667,4.288095997,5.798932655,NA,3
103353,-27.8848,82.36432,1.5,7.690835603,NA,5.495894492,3.080445408,5.635848748,4.578928875,4.051784948,2,4.65396035,4.182265481,1,0.902975533,0.866842597,15.81781285,1.243516482,0.549306144,4.846376921,3.850287472,3.555062306,NA,2.287208991,1.609437912,1.844439727,1,1.666666667,4.288095997,5.798932655,NA,3
103354,-24.5045,82.36432,1.5,7.690835603,NA,5.495894492,3.080445408,5.635848748,4.578928875,4.051784948,2,4.65396035,4.182265481,1,0.902975533,0.866842597,15.81781285,1.243516482,0.549306144,4.846376921,3.850287472,3.555062306,NA,2.287208991,1.609437912,1.844439727,1,1.666666667,4.288095997,5.798932655,NA,3
103444,-87.3831,81.91517,1.333333333,10.49339899,NA,6.916687912,2.984915357,6.729011392,8.913436974,9.883024469,2,5.826422828,4.827827846,1,2.096849691,2.009828532,22.56653101,1.015732624,0.135155036,5.365788371,7.085236072,5.05815481,1.696535106,2.562341067,1.609437912,1.791759469,1,1.8,4.853979034,10.58265414,NA,2
