GlobalID,Longitude,Latitude,X1_1_ActivityCycle,X5_1_AdultBodyMass_g,X8_1_AdultForearmLen_mm,X13_1_AdultHeadBodyLen_mm,X2_1_AgeatEyeOpening_d,X3_1_AgeatFirstBirth_d,X18_1_BasalMetRate_mLO2hr,X5_2_BasalMetRateMass_g,X6_1_DietBreadth,X7_1_DispersalAge_d,X9_1_GestationLen_d,X12_1_HabitatBreadth,X22_1_HomeRange_km2,X22_2_HomeRange_Indiv_km2,X14_1_InterbirthInterval_d,X15_1_LitterSize,X16_1_LittersPerYear,X17_1_MaxLongevity_m,X5_3_NeonateBodyMass_g,X13_2_NeonateHeadBodyLen_mm,X10_1_PopulationGrpSize,X23_1_SexualMaturityAge_d,X10_2_SocialGrpSize,X24_1_TeatNumber,X12_2_Terrestriality,X6_2_TrophicLevel,X25_1_WeaningAge_d,X5_4_WeaningBodyMass_g,X13_3_WeaningHeadBodyLen_mm,XHYP_JTE
103235,-79.469,82.81348,1.293995244,10.13648316,NA,6.907339693,2.984915357,6.729011392,8.913436974,9.883024469,2.071783578,5.826422828,4.681471972,1,2.013027227,1.936801607,22.71150387,1.145041755,0.167055481,5.246563789,6.881557425,5.05815481,1.696535106,2.543697365,1.609437913,1.791759469,1,1.773294497,4.755695898,10.58265414,NA,2
103237,-72.2882,82.81348,1.293995244,9.892027979,NA,6.907339693,2.984915357,6.305362462,8.913436974,9.883024469,2.179059506,5.826422828,4.622186819,1,2.013027227,1.936801607,21.97266334,1.279191274,0.167055481,5.209391981,6.585852337,5.05815481,1.696535106,2.526606874,0.693147181,2.197224577,1,1.820940494,4.438536982,10.12290818,NA,1
103239,-65.1074,82.81348,1.293995244,9.892027979,NA,6.907339693,2.984915357,6.305362462,8.913436974,9.883024469,2.179059506,5.826422828,4.622186819,1,2.013027227,1.936801607,21.97266334,1.279191274,0.167055481,5.209391981,6.585852337,5.05815481,1.696535106,2.526606874,0.693147181,2.197224577,1,1.820940494,4.438536982,10.12290818,NA,1
103247,-36.3843,82.81348,1.5,7.668446631,NA,5.493037717,3.080445408,5.635848749,4.578928875,4.051784948,2.03386519,4.65396035,4.171715556,1,0.902975533,0.866842597,15.44976374,1.247877316,0.549306145,4.832303899,3.770225158,3.555062306,NA,2.285468775,1.609437913,1.844439727,1,1.644089873,4.230667029,5.708439038,NA,3
103249,-29.2035,82.81348,1.5,7.668446631,NA,5.493037717,3.080445408,5.635848749,4.578928875,4.051784948,2.03386519,4.65396035,4.171715556,1,0.902975533,0.866842597,15.44976374,1.247877316,0.549306145,4.832303899,3.770225158,3.555062306,NA,2.285468775,1.609437913,1.844439727,1,1.644089873,4.230667029,5.708439038,NA,3
103445,-84.1894,81.91517,1.293995244,10.13648316,NA,6.907339693,2.984915357,6.729011392,8.913436974,9.883024469,2.071783578,5.826422828,4.681471972,1,2.013027227,1.936801607,22.71150387,1.145041755,0.167055481,5.246563789,6.881557425,5.05815481,1.696535106,2.543697365,1.609437913,1.791759469,1,1.773294497,4.755695898,10.58265414,NA,2
103447,-77.802,81.91517,1.293995244,10.13648316,NA,6.907339693,2.984915357,6.729011392,8.913436974,9.883024469,2.071783578,5.826422828,4.681471972,1,2.013027227,1.936801607,22.71150387,1.145041755,0.167055481,5.246563789,6.881557425,5.05815481,1.696535106,2.543697365,1.609437913,1.791759469,1,1.773294497,4.755695898,10.58265414,NA,2
103449,-71.4147,81.91517,1.293995244,9.892027979,NA,6.907339693,2.984915357,6.305362462,8.913436974,9.883024469,2.179059506,5.826422828,4.622186819,1,2.013027227,1.936801607,21.97266334,1.279191274,0.167055481,5.209391981,6.585852337,5.05815481,1.696535106,2.526606874,0.693147181,2.197224577,1,1.820940494,4.438536982,10.12290818,NA,1
103451,-65.0273,81.91517,1.293995244,9.892027979,NA,6.907339693,2.984915357,6.305362462,8.913436974,9.883024469,2.179059506,5.826422828,4.622186819,1,2.013027227,1.936801607,21.97266334,1.279191274,0.167055481,5.209391981,6.585852337,5.05815481,1.696535106,2.526606874,0.693147181,2.197224577,1,1.820940494,4.438536982,10.12290818,NA,1
103453,-58.6399,81.91517,1.587990488,7.000712757,NA,5.821563985,2.894507341,5.212199819,6.953712773,7.229536754,1.824019025,4.923458601,3.788227224,1,1.577797941,1.403501039,13.27288553,1.627144802,0.599494261,4.857996827,2.621086672,3.555062306,NA,2.246375544,0.693147181,2.249904835,1,2.175980975,3.269228169,3.177198934,NA,NA
