GlobalID,X1_1_ActivityCycle,X5_1_AdultBodyMass_g,X8_1_AdultForearmLen_mm,X13_1_AdultHeadBodyLen_mm,X2_1_AgeatEyeOpening_d,X3_1_AgeatFirstBirth_d,X18_1_BasalMetRate_mLO2hr,X5_2_BasalMetRateMass_g,X6_1_DietBreadth,X7_1_DispersalAge_d,X9_1_GestationLen_d,X12_1_HabitatBreadth,X22_1_HomeRange_km2,X22_2_HomeRange_Indiv_km2,X14_1_InterbirthInterval_d,X15_1_LitterSize,X16_1_LittersPerYear,X17_1_MaxLongevity_m,X5_3_NeonateBodyMass_g,X13_2_NeonateHeadBodyLen_mm,X10_1_PopulationGrpSize,X23_1_SexualMaturityAge_d,X10_2_SocialGrpSize,X24_1_TeatNumber,X12_2_Terrestriality,X6_2_TrophicLevel,X25_1_WeaningAge_d,X5_4_WeaningBodyMass_g,X13_3_WeaningHeadBodyLen_mm,XHYP_JTE
103148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103149,1.721821306,5.096417009,4.675360465,5.270425552,2.566378639,5.76176876,5.241389799,5.349074556,3.083842498,5.558830884,3.704631626,1.69020812,1.577574255,1.569951142,13.84611831,1.173726672,0.562502006,4.51921768,2.600778055,3.969145137,0.852311209,2.326697503,0.498871232,1.871115811,1.33008547,1.695519348,3.629130579,4.728192598,5.194016965,1.685897436
103150,1.743967597,5.034469516,4.644320243,5.251172013,2.549898169,5.647795233,5.264223908,5.354175257,3.047002033,5.575444661,3.700297836,1.682551818,1.535551467,1.484885631,13.2698651,1.179067946,0.572130271,4.490549564,2.500871621,4.035169346,0.789583239,2.315879089,0.492928883,1.87207825,1.361365953,1.65929878,3.587659072,4.685751004,5.267697163,1.479865772
103151,1.715508299,5.04259604,4.653949047,5.256476273,2.53608556,5.679159496,5.351065332,5.483000336,3.051347663,5.595082304,3.681847301,1.690122825,1.567915425,1.539699634,13.47356541,1.165258562,0.554308985,4.450762197,2.433469409,3.950437513,0.785629871,2.312116808,0.431607756,1.908504181,1.351586489,1.645939952,3.608508399,4.700765958,5.204886796,1.63963964
103152,1.718088796,5.071028569,4.701809864,5.277840254,2.537079302,5.71798993,5.319620912,5.450565591,3.038357094,5.464230161,3.71501762,1.687243852,1.565281078,1.5021334,13.494881,1.166082361,0.572865402,4.518548994,2.655858991,4.055682117,0.832759234,2.320732015,0.508918324,1.847667574,1.351623932,1.678122878,3.595551402,4.779762966,5.319341582,1.607142857
103235,1.70962775,5.048964197,4.711721868,5.260792706,2.60177285,5.669334861,5.322419844,5.46486599,3.057513387,5.53705902,3.694879453,1.680997984,1.525935049,1.51650159,13.15997871,1.170498845,0.558585095,4.498226028,2.461703425,4.02223137,0.814969593,2.324772932,0.435922372,1.879473159,1.348504704,1.693524096,3.585136841,4.549048618,5.270360464,1.537037037
103236,1.699321113,5.079328624,4.675360465,5.255635268,2.592294543,5.769968375,5.275383657,5.407454012,3.059218065,5.520266741,3.721487022,1.646108291,1.580235933,1.55215551,13.39568161,1.161333867,0.584407427,4.480874473,2.565715715,4.032984544,0.753764449,2.315463486,0.495488712,1.876586862,1.361945854,1.665032019,3.606386834,4.664768071,5.186112157,1.610815603
103237,1.746814738,4.998398907,4.71653627,5.248698021,2.531928088,5.709713843,5.374666245,5.535560712,3.113557858,5.566165199,3.67539331,1.688284164,1.580284985,1.534291174,13.23435248,1.179556735,0.578896795,4.503666651,2.417719819,3.970248276,0.790113989,2.315527399,0.439916276,1.898257752,1.360743381,1.702331606,3.562705625,4.433304679,5.417838212,1.633928571
103238,1.71819273,5.011892993,4.698418916,5.237938542,2.514740575,5.729829715,5.282035157,5.380709293,3.09160696,5.509293736,3.694822678,1.682275674,1.50610306,1.468120983,13.37396188,1.157841879,0.592558975,4.472556353,2.491357781,4.035987186,0.845137685,2.306706148,0.468181325,1.862720598,1.36005806,1.657710679,3.570790047,4.661435396,5.327664256,1.584415584
103239,1.70220842,5.032330705,4.669595853,5.240489917,2.547759701,5.651238057,5.284804721,5.39502069,3.066666667,5.472798477,3.704541829,1.670145961,1.555420093,1.522158154,13.41900262,1.164058594,0.57260942,4.47300521,2.447119028,3.913438268,0.844390823,2.312315358,0.447666186,1.86831466,1.366207951,1.679123711,3.616853534,4.57772654,5.243678261,1.566433566
103246,1.732386748,5.063796236,4.680548617,5.266163957,2.610450677,5.757867576,5.335792298,5.48861186,3.083770161,5.653780314,3.719625833,1.665876219,1.585050813,1.519718168,13.64979559,1.155438379,0.546542579,4.494158434,2.582258819,3.957998416,0.829981804,2.327020368,0.524816156,1.870448487,1.348570468,1.662634409,3.629049448,4.631792592,5.277291333,1.559659091
103247,1.688166495,5.105177197,4.669595853,5.290744114,2.540059096,5.710628836,5.385905055,5.535147371,3.009145299,5.61021214,3.751097505,1.669475655,1.56741039,1.567074259,13.43125626,1.128362499,0.606480681,4.537378344,2.67247549,4.003234197,0.858358572,2.320667948,0.482181767,1.809589966,1.34473953,1.682393162,3.618074376,4.77706362,5.386507711,1.886792453
103248,1.705734581,5.054177448,4.693935328,5.262770454,2.554494574,5.773856429,5.364813285,5.513441126,3.0847745,5.488201178,3.711068177,1.676038501,1.590169675,1.550490752,13.6768881,1.172005796,0.575112102,4.514838106,2.544297829,3.955360224,0.635360855,2.314551226,0.478156042,1.861965765,1.3474333,1.694303154,3.550744163,4.568641523,5.32132515,1.707142857
103249,1.700360082,5.072792281,4.669595853,5.273032888,2.540317818,5.762392148,5.358376455,5.492353337,3.105583756,5.56378272,3.746201322,1.671732523,1.484040446,1.452542957,13.66943366,1.150894961,0.538457231,4.56405353,2.573295629,3.99138458,0.885057602,2.332576251,0.49698478,1.854404215,1.352161432,1.6857022,3.654739459,4.515541764,5.218812201,1.561290323
103250,1.716087253,5.045663906,4.657426115,5.266040676,2.559275162,5.700764559,5.359053546,5.478402908,3.015097236,5.541239973,3.710009671,1.657303371,1.548177659,1.528071519,13.64814319,1.158600867,0.573464303,4.53809939,2.589836366,4.030050026,0.730507457,2.32126545,0.492692629,1.85853499,1.347748209,1.666240191,3.629894171,4.601814954,5.24897892,1.604895105
103336,1.67887538,5.091578928,4.669595853,5.270391854,2.521322902,5.686143088,5.381670863,5.530681991,3.064280914,5.485718154,3.718332249,1.659290995,1.532571627,1.542431252,13.60781478,1.166313696,0.596959865,4.509765989,2.541706161,3.949807099,0.849798143,2.319874466,0.438076653,1.875799725,1.356703629,1.658350134,3.635624111,4.615197251,5.278375938,1.674285714
103337,1.730696416,5.140005111,4.655904897,5.309831374,2.484425884,5.732542732,5.357433696,5.511335639,3.121160295,5.557940787,3.739013201,1.693942436,1.571666703,1.570840351,13.75308994,1.153592047,0.566573756,4.556756919,2.605786968,4.054777635,0.854805887,2.329398051,0.502062952,1.864107882,1.341382195,1.658635144,3.64726397,4.695075024,5.325587028,1.535519126
103338,1.703993933,5.045870545,4.638302241,5.254523516,2.548898403,5.647196463,5.37781735,5.519935198,3.045992622,5.6036424,3.677749683,1.662357478,1.591862225,1.587739422,13.26193002,1.170706492,0.592967078,4.491298286,2.466546436,3.942789928,0.639048283,2.314356328,0.425033781,1.878871396,1.353873239,1.682209926,3.587731561,4.524969511,5.315578117,1.617449664
103339,1.703175403,5.046998664,4.655904897,5.265551374,2.549361314,5.696828606,5.276217597,5.391076153,3.04681742,5.526481521,3.701800422,1.693756294,1.569647911,1.554250356,13.18822239,1.150600149,0.595897122,4.483167985,2.437432763,3.956313217,0.819507012,2.304875627,0.48395743,1.877641379,1.342691532,1.658291457,3.579939421,4.617210696,5.342930562,1.600515464
103340,1.735611511,5.093521564,4.706105066,5.257918382,2.569265634,5.746116573,5.320977077,5.469942957,3.020473773,5.535527216,3.737298415,1.684246112,1.524603837,1.477335267,14.20457247,1.16223671,0.573447159,4.559306727,2.618504484,3.984639737,0.848230826,2.329963138,0.490733464,1.857738586,1.353130288,1.683840948,3.678805978,4.65800197,5.289627705,1.594936709
103341,1.710260363,5.107042822,4.694871462,5.292108976,2.538185156,5.609612856,5.403108751,5.570804204,3.072990844,5.514324118,3.73919372,1.675537359,1.568522708,1.540483759,13.62971367,1.166188682,0.577093784,4.500797085,2.561720542,4.034244459,0.814600093,2.31838259,0.441744709,1.906332953,1.338877516,1.703204476,3.576457411,4.565120384,5.357045624,1.58677686
103342,1.721848014,5.032256636,4.702454145,5.266457144,2.526870426,5.716343411,5.339936016,5.477325659,3.050479124,5.601773855,3.726085542,1.653450051,1.546081507,1.510640127,13.38036242,1.15868691,0.541567701,4.500996034,2.52135295,3.99098795,0.830951404,2.324751703,0.492315925,1.866086207,1.347537879,1.694644079,3.602319825,4.734468743,5.24897892,1.573825503
103343,1.717895466,5.072611388,4.71653627,5.279201547,2.565724177,5.746598978,5.373729919,5.572620013,3.011686992,5.589798552,3.734972047,1.67388719,1.61454806,1.589360451,13.40729628,1.153005627,0.569008828,4.538010321,2.606055933,3.922795158,0.83113945,2.316983743,0.470836941,1.836939544,1.349473327,1.667682927,3.628724647,4.736729597,5.254380659,1.742753623
103348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103349,1.701808654,5.137086083,4.696977763,5.276182758,2.623489583,5.768397087,5.408994527,5.575484577,3.080231388,5.553247715,3.699454814,1.688576214,1.6158301,1.553921666,13.78703062,1.153684882,0.551051297,4.516734755,2.559144833,4.038306813,0.795337699,2.320787238,0.463587888,1.850079762,1.350954774,1.681120054,3.613268864,4.585389158,5.077767259,1.704819277
103350,1.699264203,5.026241857,4.647690324,5.247391273,2.585199227,5.698697182,5.350623932,5.486018603,3.026731161,5.552905174,3.714955155,1.670833333,1.48414138,1.506963372,13.09104761,1.160342508,0.581030941,4.456682471,2.520003666,3.992796793,0.644801053,2.312529905,0.465565882,1.855935132,1.359066121,1.659623218,3.588147299,4.638515255,5.280722225,1.470588235
103351,1.703809031,5.054491329,4.706105066,5.267985751,2.468723976,5.584181967,5.369930469,5.502324642,3.081874356,5.523401737,3.703256476,1.653459441,1.534232251,1.524723928,13.15321255,1.163823259,0.572346641,4.458554542,2.495391059,4.062726419,0.778368463,2.312700542,0.439259151,1.859505803,1.346680356,1.675763817,3.56989732,4.61021511,5.266414559,1.565891473
103352,1.735545106,5.118113037,4.650267445,5.283866583,2.540820702,5.709437885,5.379739926,5.501039345,3.032923917,5.529548593,3.743059115,1.672103296,1.560829869,1.554167796,13.88969117,1.14696189,0.583121113,4.527354905,2.678898671,4.072267102,0.889805434,2.31569195,0.484439567,1.842664004,1.32627551,1.674428523,3.591599531,4.734408764,5.23620461,1.683870968
103353,1.727500865,5.083476114,4.711721868,5.271622258,2.561535774,5.77507024,5.377111408,5.529325502,3.096571623,5.488213581,3.727796439,1.66293279,1.568762785,1.502431186,13.6079562,1.147976197,0.557556312,4.486622176,2.618735195,4.098919317,0.887776812,2.32869223,0.509593307,1.865230216,1.347165648,1.696452817,3.614840115,4.73102602,5.306287773,1.679245283
103354,1.720516823,5.018807331,4.674811454,5.249241103,2.499919293,5.72987862,5.338968593,5.467399905,3.125639713,5.519316324,3.712180539,1.667603954,1.559395089,1.491999418,13.37240106,1.151812666,0.594788754,4.470807157,2.581620132,4.026404154,0.753092206,2.322946287,0.46801532,1.837180293,1.345871716,1.680996247,3.584199344,4.699371698,5.291002087,1.633802817
103444,1.734483926,5.038760517,4.730444542,5.236071455,2.560781377,5.64963197,5.342562568,5.501875722,3.037533738,5.500377625,3.721822144,1.689787664,1.580537868,1.523179604,13.77838417,1.166877606,0.544713152,4.51245833,2.550450361,4.040687246,0.746566687,2.327432185,0.452147914,1.862508735,1.346848669,1.709632254,3.5943064,4.501768421,5.260973703,1.634228188
103445,1.700574713,5.025509711,4.676897695,5.238573077,2.509839597,5.707852774,5.311025657,5.432867015,3.064012097,5.449878433,3.727133708,1.663515335,1.574091001,1.531886838,13.48728458,1.157627342,0.583113372,4.450984415,2.46258762,3.942111575,0.808843608,2.310401498,0.415396765,1.873853957,1.362133468,1.66547379,3.606168126,4.446318943,5.281309855,1.575471698
103446,1.696411565,5.066129009,4.647690324,5.279369446,2.562733962,5.702236562,5.309365296,5.43472345,3.055159129,5.618072886,3.722731485,1.686310124,1.585015361,1.58115239,13.64491762,1.15231353,0.548965547,4.544769502,2.514466872,3.892072171,0.747509048,2.317603741,0.417529192,1.842188434,1.352758157,1.667135678,3.615676151,4.648298727,5.18057996,1.639393939
103447,1.738452381,5.120490164,4.678723156,5.279266345,2.533034406,5.744648865,5.366446695,5.519515987,3.112328308,5.587675714,3.732703296,1.67360134,1.548942968,1.512575287,13.47595829,1.16110198,0.564873754,4.529915348,2.540969689,3.974818069,0.919864935,2.318250014,0.481272068,1.861727216,1.347035176,1.70599665,3.625298032,4.601082129,5.278504999,1.578651685
103448,1.701518288,5.112156376,4.706105066,5.26745509,2.521232894,5.693675034,5.338668625,5.48450873,3.042352538,5.506869904,3.723177829,1.671891059,1.540234654,1.486526038,13.20918191,1.14299624,0.59091392,4.552524752,2.602139376,4.02862987,0.819445848,2.312670747,0.455247112,1.860968892,1.351423182,1.669581619,3.603910399,4.707984145,5.229655582,1.693181818
103449,1.723367698,5.090580824,4.679552911,5.279383089,2.511293302,5.697900034,5.316727538,5.44085238,3.074377346,5.582026247,3.703750264,1.65859667,1.580321328,1.544464265,13.45576077,1.162068457,0.56738833,4.449548482,2.472912578,4.080624525,0.869530008,2.309489805,0.466242252,1.861541506,1.344801223,1.695496418,3.599005876,4.659414599,5.376673475,1.622377622
103450,1.702442827,5.104387045,4.633086639,5.263717572,2.589560324,5.795795707,5.433159988,5.58037475,3.050033979,5.639774584,3.732814027,1.667597293,1.614534415,1.570998406,14.17213349,1.165833411,0.562941819,4.527688937,2.603764758,4.029590003,0.754173811,2.334889835,0.511130243,1.84382101,1.342216582,1.698606864,3.6616032,4.76945325,5.284662916,1.786666667
