TaxonName,X1_1_ActivityCycle,X5_1_AdultBodyMass_g,X8_1_AdultForearmLen_mm,X13_1_AdultHeadBodyLen_mm,X2_1_AgeatEyeOpening_d,X3_1_AgeatFirstBirth_d,X18_1_BasalMetRate_mLO2hr,X5_2_BasalMetRateMass_g,X6_1_DietBreadth,X7_1_DispersalAge_d,X9_1_GestationLen_d,X12_1_HabitatBreadth,X22_1_HomeRange_km2,X22_2_HomeRange_Indiv_km2,X14_1_InterbirthInterval_d,X15_1_LitterSize,X16_1_LittersPerYear,X17_1_MaxLongevity_m,X5_3_NeonateBodyMass_g,X13_2_NeonateHeadBodyLen_mm,X10_1_PopulationGrpSize,X23_1_SexualMaturityAge_d,X10_2_SocialGrpSize,X24_1_TeatNumber,X12_2_Terrestriality,X6_2_TrophicLevel,X25_1_WeaningAge_d,X5_4_WeaningBodyMass_g,X13_3_WeaningHeadBodyLen_mm,XHYP_JTE
Caluromys derbianus,1,5.789103535,NA,5.442417711,NA,NA,5.371149525,5.840641657,3,NA,NA,1,NA,NA,NA,1.1442228,NA,4.094344562,NA,NA,NA,2.351228962,0,NA,2,2,NA,NA,NA,NA
Caluromys philander,1,5.507240282,NA,5.412850683,4.317488114,5.812876014,NA,NA,4,NA,3.177637077,2,NA,NA,12.9034879,1.430311247,0.693147181,4.33073334,-1.609437912,2.302585093,NA,2.398134205,0,1.945910149,2,2,4.927624067,3.135494216,NA,NA
Chironectes minimus,1,6.881750055,NA,5.695414225,3.725693427,NA,6.307515394,6.852242569,4,NA,NA,3,NA,NA,19.10497317,1.17557333,NA,3.583518938,NA,NA,NA,2.417264473,0,1.386294361,1,2,4.767488624,4.248495242,NA,NA
Didelphis marsupialis,1,7.034167641,NA,5.998191868,NA,5.206750173,6.415653269,7.192182059,3,NA,2.63905733,2,NA,NA,10.48808848,1.958685341,0.693147181,3.478158423,-1.832581464,NA,NA,2.30276089,0,2.564949357,2,2,4.522031874,4.563410252,NA,NA
Didelphis virginiana,1,7.800605414,NA,NA,NA,5.225746674,6.57795871,7.990068795,4,4.677490848,2.540814282,2,NA,NA,11.69914527,2.154085085,0.693147181,4.094344562,-1.897119985,2.624668592,NA,2.327776163,0,2.564949357,2,2,4.785896099,4.828313737,5.274024674,NA
Marmosa mexicana,1,3.893044039,NA,4.896047149,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,2.451005098,NA,4.430816799,NA,NA,NA,NA,0,2.564949357,2,2,NA,NA,NA,NA
Marmosa murina,1,3.591266625,NA,4.792230497,NA,NA,NA,NA,3,NA,2.585505848,2,NA,NA,NA,2.128231706,NA,NA,-2.407945609,NA,NA,NA,0,2.397895273,2,2,3.95789161,NA,NA,NA
Marmosa robinsoni,1,4.103799721,NA,5.011434974,3.617651945,NA,4.580877493,4.804021045,3,NA,2.626840146,2,NA,NA,11.5758369,2.251291799,0.405465108,3.17805383,-2.525728644,NA,NA,2.353003475,0,2.708050201,2,2,4.013082168,2.349468679,NA,NA
Marmosops fuscatus,1,3.80999028,NA,4.874051629,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,1.699278616,0.693147181,NA,NA,NA,NA,2.285530069,NA,NA,2,2,NA,NA,NA,NA
Marmosops invictus,1,3.373826185,NA,4.71195968,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA
Metachirus nudicaudatus,1,5.8965218,NA,5.563331962,NA,NA,5.322814838,5.81711116,4,NA,NA,2,NA,NA,19.10497317,1.353254507,NA,3.871201011,NA,NA,NA,NA,0,2.197224577,2,2,NA,NA,NA,NA
Micoureus alstoni,1,4.885072071,NA,5.260096154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monodelphis adusta,1,3.584629433,NA,4.794798318,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
Philander opossum,1,6.053993237,NA,5.581991418,NA,5.494418547,5.822897956,6.621405652,5,4.26969745,NA,2,NA,NA,10.29563014,1.558144618,1.098612289,3.737669618,-1.609437912,NA,NA,2.322662968,0,1.945910149,2,2,4.304736083,4.417755682,NA,NA
